City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
277,urcos,-13.6861,-71.6228,21.939999999999998,32,33,2.77,PE,1722535878
278,bom jesus,-9.0744,-44.3586,35.370000000000005,14,0,4.07,BR,1722535937
279,vadso,70.0744,29.7487,13.090000000000032,94,75,6.17,NO,1722535938
280,las choapas,17.9333,-94.0833,30.33000000000004,69,55,3.9,MX,1722535940
281,yeniseysk,58.4497,92.1703,14.400000000000034,96,82,1.32,RU,1722535941
282,shingu,33.7333,135.9833,24.710000000000036,76,5,1.55,JP,1722535942
283,mahina,-17.5065,-149.489,20.870000000000005,68,0,1.03,PF,1722535813
284,morondava,-20.2833,44.2833,23.230000000000018,51,73,5.48,MG,1722535944
285,kirakira,-10.4544,161.9205,25.260000000000048,88,27,3.9,SB,1722535945
286,sinabang,2.4803,96.3801,26.75,81,65,0.99,ID,1722535946
287,port macquarie,-31.4333,152.9167,11.150000000000034,83,83,0.45,AU,1722535948
288,salalah,17.0151,54.0924,25.05000000000001,100,100,3.09,OM,1722535949
289,posto fiscal rolim de moura,-13.0833,-62.2667,38.28000000000003,17,0,2.48,BR,1722535655
290,ingeniero jacobacci,-41.3427,-69.5448,10.82000000000005,48,100,13.96,AR,1722535951
291,frontera,26.9333,-101.45,31.05000000000001,53,0,4.63,MX,1722535952
292,darfo boario terme,45.8835,10.1807,27.25,75,24,1.79,IT,1722535953
293,alotau,-10.3069,150.4462,23.060000000000002,95,99,2.76,PG,1722535954
294,umm as sahik,26.6536,49.9164,39.08000000000004,27,15,3.55,SA,1722535955
295,kichmengskiy gorodok,59.9816,45.7854,15.830000000000041,88,94,1.46,RU,1722535956
296,sao jose da coroa grande,-8.8978,-35.1478,26.02000000000004,68,53,6.28,BR,1722535957
297,iskateley,67.6803,53.1512,15.520000000000039,94,57,4.46,RU,1722535958
298,khorixas,-20.3667,14.9667,17.760000000000048,18,0,2.29,NA,1722535960
299,majuro,7.0897,171.3803,26.980000000000018,89,100,2.06,MH,1722535961
300,gizo,-8.103,156.8419,26.939999999999998,81,26,5.37,SB,1722535962
301,san antonio de pale,-1.4014,5.6325,22.460000000000036,81,92,5.22,GQ,1722535963
302,ceerigaabo,10.6162,47.368,21.650000000000034,57,64,5.37,SO,1722535964
303,mersa matruh,31.3525,27.2453,27.350000000000023,65,0,4.92,EG,1722535965
